Total segments: 1383
Duration: 3615s = 60:14

[0] 0:00 | בוקר טוב עמית ויונתן.
[265] 11:51 | >> משהו הזה עומד בחוץ הוא לא טוב סנטר זה לא
[266] 11:55 | יאללה אני בא לי אני בא היום אני קונה אני
[267] 11:57 | רוצה להתגרות ואז יש את הנחמד ההוא שנותן
[268] 12:00 | נותן לטעום מהטבט וזה באמת אחד הפחות אחד
[269] 12:03 | היותר מוצלחים שיש אין בועל בוא מאוד עדין
[270] 12:08 | אבל וכל היתר
[271] 12:12 | מהלא מזמינים בהיסטוריה סליחה בשם א
[272] 12:16 | >> אני מת עלדיסק הגנו אני אוהב את זה שהגענו
[273] 12:18 | מביס השבוע לדיסק כאילושים
[274] 12:22 | שהיו יפה דיס השנה
[275] 12:24 | >> א נתה
[276] 12:26 | >> אני אמשיך עם
[277] 12:28 | נקרא לזה אולי טעמי בית טעמים של פעם
[278] 12:31 | טעימים של הפשוט והמנחם והטוב ואני ממשיכה
[279] 12:35 | את קו המתוקים גם משבוע שעבר
[280] 12:37 | >> אוקיי
[281] 12:38 | >> אה אז ביסטוב ובלי יותר מדי הקדמות בשלת
[282] 12:41 | עוגת גזר שמת גוב
[283] 12:46 | לא אני צריך שמישהו יאכיל אותי בעוגת גזר
[284] 12:48 | שמישה יגיד לי חביבי אתה עם חורים לו פים
[285] 12:52 | בפודקאסט הכל חור בהשכלה הבאתי לך עוגת
[286] 12:55 | גזר בוא תיתן ת אף אחד לא עשה את זה אף
[287] 12:58 | אחד לא עשה את זה לא אתם שקוראים לעצמכם
[288] 13:02 | חברים ולא הציבור ציבור העדיף להכיל אותי
[289] 13:05 | בשיפודים
[290] 13:06 | >> אוקיי בסדר אז אז
[291] 13:07 | >> בבקשה מה אוביס השבוע שלנו פתחתם כאן את
[292] 13:09 | את המתח אז הביס שלי הוא רוג עלך הנה
[293] 13:12 | >> ביס קטן קטנטן
[294] 13:14 | >> אה קודם כל רוגלך מרגיש לי שזה כזה לרוב
[295] 13:17 | טוב לא לרוב לרוב זו מילה אני מתחרטת תוך
[296] 13:21 | כדי אבל
[297] 13:22 | >> אני חושבת שכן
[298] 13:22 | >> בגלל שיש לו את הטעם של פעם יש הרבה
[299] 13:24 | סלחנות כלפי הדבר
[300] 13:26 | >> זה נכון
[301] 13:26 | >> אה וואו זה הסכמה מעולם לא הייתה כזו
[302] 13:28 | הסכמה כאן א
[303] 13:30 | >> האמת שזה היה הרוגלך של הבבקה
[304] 13:32 | >> אוקיי
[305] 13:32 | >> שזה רוגלחסיסי ורטוב וטוב והתיר מילוי א
[306] 13:36 | וגם אפוי שזה חשוב שזה יהיה גם אפוי בן
[307] 13:38 | תוךן כל הדבר הזה
[308] 13:39 | >> אה מה מה זאת אומרת אפוי שלא
[309] 13:41 | >> ש שלא מה שהם אולי חוסר הפרופורציה מייצר
[310] 13:44 | בצק שהוא כזה
[311] 13:45 | >> אה אוקיי
[312] 13:46 | >> א ואגב אני גיליתי שזה גם אחד המאכלים הכי
[313] 13:50 | אמוציונליים נראה לי אפשר להגיד כי העליתי
[314] 13:53 | איזה סטורי כזה אחרי שהרוג הלך ככה עניין
[315] 13:55 | את כולם מה הרוגלך הכי טוב לדעתכם ואני
[316] 13:58 | קיבלתי מבול של הודעות וכל הודעה היא
[317] 14:01 | נחרצת יותר מהשנייה
[318] 14:03 | >> א
[319] 14:04 | >> סקר האוכל של ישראל גרסת הרוג עלך איפה
[320] 14:06 | אתה חושב שחרות שם 30 25% מרציפן לדעתי
[321] 14:11 | בכלל 25% לפחות מרציפן אין לו מתחרים גם
[322] 14:14 | בטעם בעיניי
[323] 14:15 | >> כן כן זה נכון אבל זה בדיוק כאילו בסוף יש
[324] 14:19 | היום כבר בגלל שיש את כל המאפיות בוטיק
[325] 14:21 | >> זה כבר מפותח זה לא הרוג על רק של
[326] 14:23 | >> נהיו אפילו את התי ז'נר
[327] 14:25 | >> הרי בעצם בוא ננסה רגע לפעניך אני לא יודע
[328] 14:27 | לא זוכר אני לא בקי בהיסטוריה של המ מאכל
[329] 14:29 | הזה אבל בעצם זה אמור להיות כאילו אם אני
[330] 14:30 | מבין נכון הקרועסון שוקולד הישראלי שבעצם
[331] 14:34 | בימים שנוסד בימים שלא היה באמת שוקולד
[332] 14:37 | איכותי אז מצאו כל מיני תחליפים ואז זה
[333] 14:40 | כזה קורסון שוקול אותו לפר וכדי שיוכל
[334] 14:42 | להיות קינוח לארו זה עוד ות כאילו ממש מה
[335] 14:45 | שנקרא הרצחת וגם א
[336] 14:48 | >> ואז יצא כאילו משהו כזה קקאו דל ורע
[337] 14:52 | >> אה כן שעוף ומקביל זה כל היו לא היה כלום
[338] 14:55 | אבל יש טענה שבכלל גם ה
[339] 14:57 | >> מאכל דלות ששרד באמת אולי הכי יפה זה הרוג
[340] 14:59 | עלך בסופו של דבר
[341] 15:00 | >> אז אני חייב לומר שהיום אני מעניב דווקא
[342] 15:02 | את הרוג עלך אני מאוד אוהב את הרוג הלך ש
[343] 15:04 | של מרציפן אבל זה באמת מהדברים שאתה אוכל
[344] 15:07 | בידיעה גמורה שזה לא טוב בשבילך מה נקרא
[345] 15:11 | >> איזה רוגלך הוא טוב
[346] 15:12 | >> אה אבל היום למשל ישר
[347] 15:15 | >> אז אז קודם כל נראה לי שאני גם אציין יחד
[348] 15:17 | עם בבקה
[349] 15:19 | ומרציפן גם בייקרים קיבלו הרבה עדה ולחמים
[350] 15:21 | קיבלו הרבה עדה לדעתי הם יחסית בז'נרים
[351] 15:24 | דומים השונה מהם שקיבלה הרבה מאוד העדה
[352] 15:27 | ואצלי גם בביסא השנה שלא נכנסו לטופ שלוש
[353] 15:30 | אבל ביסה השנה של 2025 זה ההרוגלך של נומי
[354] 15:33 | שהוא ג'נר אחר הוא יש בו גם נוטלה
[355] 15:35 | >> אוקיי שמביא אותו באמת למחוזות המודרניים
[356] 15:37 | והובים לכם הם גם טיפה יותר יבשים
[357] 15:40 | >> והם טיפה יותר לא יבשים הם פחות רטובים
[358] 15:42 | >> כן בדיוק לא מוספגים בסירופ עד אימה שאגב
[359] 15:45 | זה במקור לא בכלל בכלל לא היו עושים את
[360] 15:47 | הדבר הזה להרוג לך את הקטע הזה של להספיק
[361] 15:49 | בסירופ זה נוצר לדעתי כדי שזה יישאר עסיסי
[362] 15:52 | לארוחת למחרת וכאלה וכמובן מרציפן לקחו את
[363] 15:56 | זה לאקסטרים עם הדבר הזה א רוגלך זה נפלא
[364] 15:59 | אין לי כאילו
[365] 16:00 | >> כן אז היה ביס קטן וטוב א
[366] 16:02 | >> אבל במאפייה בסוף כשנגיד יש אתה מגיע
[367] 16:06 | למפיות הקלאסיות האלה ויש לך 70 אופציות
[368] 16:08 | >> רוגל אחי האחרון
[369] 16:09 | >> אבל מה הראשון
[370] 16:10 | >> לא אחד הראשונים
[371] 16:11 | >> אמית גבינית
[372] 16:14 | מאוד אוהב רוגלך א אני בגלמוד לרוג עלך
[373] 16:17 | >> כן קודם כל רוגלך
[374] 16:18 | >> לא מוד לרוג עלך ממש לא קודם כל
[375] 16:20 | >> לא אז אני רוג עלך יהיה אחרון שאני אבחר
[376] 16:22 | בה עכשיו דמיינו לעצמכם כאילו מאפייה
[377] 16:24 | ישראלית גנרית כזאת כן עם כל המבח
[378] 16:26 | >> כן אתה תיקח גבינית לפני רגלח
[379] 16:28 | >> מה תיקח
[380] 16:29 | >> בחיים לא משולש אבל לא רגע שנייה מתחת לקו
[381] 16:33 | האדום במקום האחרון יורדת ליגה גם מחזור
[382] 16:35 | 14 הגבינית ואחרי מאבקי ההישרדות הרוגלך
[383] 16:39 | יורד לי רגע אתה לוקח לפני שניה רגע שניה
[384] 16:41 | רגע
[385] 16:42 | >> רגע יש קורסון בלי הכלום נכון המתקתק הקטן
[386] 16:46 | אחרי זה העיגול קינמון העיגול קינמון מקום
[387] 16:48 | ראשון
[388] 16:48 | >> אה ביס אין בעיה אני לא אני חי עם זה
[389] 16:50 | בשלום א יש את יש את ה את הריבוע הזה עם
[390] 16:54 | השוקולד בפנים יש את הכאיל ממש קוביית
[391] 16:56 | שוקולד
[392] 16:57 | >> כן כן אה אוקיי כן כן כן שוקולד כזה טוב
[393] 17:00 | כזה זה א כמובן תפוח עץ הולך נפלא כאילו א
[394] 17:05 | >> קודם כל זה שאתה במתוקים זה בכלל אני
[395] 17:06 | באזלות כאן
[396] 17:07 | >> אני לא במתוקים אבל אני בדיוק עכשיו רואה
[397] 17:09 | את הסתם לצ את הפרצי
[398] 17:12 | את המשטח בכזה אצל עזרא ססון בקאסטל שיש
[399] 17:15 | את כל הסוגים האלה יש לו גם אחד עם חלווה
[400] 17:17 | נהדר שזה חדש יחסית
[401] 17:19 | >> אה אני חושב שאצלי זה כזה כי
[402] 17:23 | פרג רוגלך
[403] 17:24 | >> אני חושב זה הדירוג
[404] 17:26 | >> וואי אני כל כך הרבה שנים לא אכלתי כזה
[405] 17:28 | >> אני חייב לשאול רגע משהו כמה עולה רוג הלך
[406] 17:30 | הרבה בבקה זוכר
[407] 17:31 | >> אני באמת לא בדקתי אבל אה א כמדומני משהו
[408] 17:36 | היה לי קפה גדול קפה קטן אמריקנו שניהם
[409] 17:39 | ושלושה רוגלחם כדי לאכול 1 וחצי
[410] 17:41 | >> כן
[411] 17:42 | >> א סביב ה-40 ומשהו
[412] 17:44 | >> אוקיי כי אני היה לי איתם תקלת מחירים
[413] 17:46 | מאוד מבאיסת א חייב לומר לא יודע קניתי
[414] 17:49 | כזה קפה ושלוש עוגיות לילדים ושקית של
[415] 17:52 | לחמניות פרצל ושילמתי את זה 80 ש₪ כאילו
[416] 17:54 | לחמניות פרצל הם מעולות אגב אבלתי שק
[417] 17:57 | ללחמניהכן
[418] 17:58 | >> מאוד מאוד יקר ובכלל גם העוגיות זה 12 ש₪
[419] 18:01 | לעוגיה משהו כאילו לא יודע זה לא נשמע
[420] 18:03 | מופרח סליחה זה מאוד עצוב שזה לא נשמע
[421] 18:06 | מאוד מופרח מאוד מופרח מאוד מאוד מופרח
[422] 18:09 | >> אמ אחלה רוג עלך אמ אנחנו מתקדמים
[423] 18:14 | >> אנחנו מצלי כן אפשר להתקדם
[424] 18:16 | >> אפשר להתקדם אה אתם זוכרים שאנחנו משתפים
[425] 18:19 | השנה פעולה עם לקט ישראל
[426] 18:21 | א ארגון ממש שמחים על כך באמת ארגון הצלת
[427] 18:24 | המזון הגדול בארץ שבעצם לוקח שתי בעיות
[428] 18:28 | ומחבר אותן לפתרון יצירתי אחד מצד אחד
[429] 18:30 | יותר מ2 וחצי מיליון טונות של אוכל
[430] 18:32 | שזורקים בישראל מדי שנה. מצד שני מאות
[431] 18:35 | אלפי משפחות שסובלות ממה שנקרא חוסר
[432] 18:37 | ביטחון תזונתי. אז דקת ישראל אוספים מזון
[433] 18:40 | שמיועד להיזהר, גם מזון גולמי, גם מזון
[434] 18:43 | מוכן ובעצם מייצרים ארוחות ושולחים למי
[435] 18:47 | שצריך.
[436] 18:49 | א אז קודם כל כמובן כנסו ללינק שאנחנו
